Loại cây trồng,Điều kiện thời tiết,Hành động khuyến nghị,Mô tả chi tiết
Ớt,Trời lạnh buổi sáng,Tăng cường thoát nước,Hạn chế ảnh hưởng của suy kiệt
Lúa,Nắng gắt,Tỉa thưa cây con,Giúp cây tránh thiếu nước
Chuối,Nhiệt độ thấp < 15°C,Tưới nhỏ giọt,Giảm nguy cơ rụng hoa
Lúa,Trời âm u,Gieo trồng sớm hơn 5 ngày,Bảo vệ cây khỏi suy kiệt
Chuối,Trời lạnh buổi sáng,Che phủ rơm/gỗ mục,Giúp cây tránh ngập úng
Bắp cải,Độ ẩm thấp,Tỉa thưa cây con,Hạn chế ảnh hưởng của bạc lá
Cà chua,Sương mù dày,Theo dõi sát thời tiết,Giảm nguy cơ héo rũ
Dưa leo,Trời lạnh buổi sáng,Tỉa thưa cây con,Tăng khả năng chống chịu với cháy lá
Rau màu,Nhiệt độ dao động mạnh trong ngày,Đào mương xung quanh ruộng,Bảo vệ cây khỏi héo rũ
Bắp cải,Nhiệt độ dao động mạnh trong ngày,Phun chế phẩm sinh học,Hạn chế ảnh hưởng của bạc lá
Chuối,Sương mù dày,Che phủ rơm/gỗ mục,Tăng khả năng chống chịu với bạc lá
Bắp cải,Trời lạnh buổi sáng,Phun chế phẩm sinh học,Giúp cây tránh nấm bệnh
Dưa hấu,Trời âm u,Tưới nước định kỳ,Bảo vệ cây khỏi suy kiệt
Sắn,Nắng nhẹ sau mưa,Phun chế phẩm sinh học,Giảm nguy cơ sốc nhiệt
Dưa leo,Trời lạnh buổi sáng,Phun thuốc phòng bệnh,Giảm nguy cơ bạc lá
Sắn,Sương mù dày,Dừng bón phân đạm,Giúp cây tránh suy kiệt
Ngô,Mưa lớn,Dừng bón phân đạm,Bảo vệ cây khỏi vàng lá
Bắp cải,Trời âm u,Bón phân hữu cơ,Tăng khả năng chống chịu với suy kiệt
Cải bẹ,Sương mù dày,Theo dõi sát thời tiết,Giúp cây tránh thối rễ
Dưa hấu,Mưa rào nhẹ,Bón vôi cải tạo đất,Tăng khả năng chống chịu với nảy mầm kém
Cà chua,Độ ẩm thấp,Bón vôi cải tạo đất,Hạn chế ảnh hưởng của sốc nhiệt
Lúa,Nhiệt độ cao > 35°C,Che chắn bằng lưới,Giúp cây tránh thối rễ
Dưa hấu,Gió mạnh,Tăng cường thoát nước,Giảm nguy cơ héo rũ
Bắp cải,Nhiệt độ thấp < 15°C,Tưới nước định kỳ,Tăng khả năng chống chịu với suy kiệt
Sắn,Gió mạnh,Dừng bón phân đạm,Giúp cây tránh cháy lá
Lúa,Trời âm u,Phun thuốc phòng bệnh,Tăng khả năng chống chịu với bạc lá
Sắn,Độ ẩm không khí cao,Bón vôi cải tạo đất,Tăng khả năng chống chịu với ngập úng
Xoài,Mưa lớn,Tưới nước định kỳ,Hạn chế ảnh hưởng của thiếu nước
Mía,Nắng gắt,Phun chế phẩm sinh học,Tăng khả năng chống chịu với thiếu nước
Cà chua,Nắng gắt,Che chắn bằng lưới,Giúp cây tránh ngập úng
Chuối,Độ ẩm thấp,Che chắn bằng lưới,Hạn chế ảnh hưởng của cháy lá
Dưa leo,Gió mạnh,Theo dõi sát thời tiết,Giúp cây tránh héo rũ
Lúa,Sương mù dày,Tăng cường thoát nước,Bảo vệ cây khỏi đạo ôn
Ngô,Trời âm u,Bón phân hữu cơ,Tăng khả năng chống chịu với sốc nhiệt
Đậu phụng,Gió mạnh,Tưới nhỏ giọt,Bảo vệ cây khỏi suy kiệt
Bắp cải,Nhiệt độ cao > 35°C,Bắt sâu thủ công,Giúp cây tránh rụng hoa
Dưa leo,Trời lạnh buổi sáng,Bón vôi cải tạo đất,Giúp cây tránh ngập úng
Cà chua,Độ ẩm không khí cao,Bắt sâu thủ công,Giúp cây tránh vàng lá
Lúa,Nhiều ngày nắng,Đào mương xung quanh ruộng,Tăng khả năng chống chịu với đạo ôn
Dưa hấu,Trời nhiều mây,Dừng bón phân đạm,Bảo vệ cây khỏi cháy lá
Xoài,Trời lạnh buổi sáng,Bón phân hữu cơ,Giúp cây tránh cháy lá
Chuối,Sương mù dày,Trì hoãn gieo trồng,Tăng khả năng chống chịu với nấm bệnh
Đậu phụng,Có áp thấp nhiệt đới,Trì hoãn gieo trồng,Tăng khả năng chống chịu với thiếu nước
Bắp cải,Mưa rào nhẹ,Trì hoãn gieo trồng,Bảo vệ cây khỏi thối rễ
Dưa hấu,Có áp thấp nhiệt đới,Tỉa thưa cây con,Giúp cây tránh suy kiệt
Cà tím,Mưa rào nhẹ,Phun chế phẩm sinh học,Bảo vệ cây khỏi suy kiệt
Chuối,Nhiều ngày nắng,Đào mương xung quanh ruộng,Hạn chế ảnh hưởng của nảy mầm kém
Thanh long,Nhiệt độ cao > 35°C,Phun chế phẩm sinh học,Bảo vệ cây khỏi suy kiệt
Bắp cải,Độ ẩm không khí cao,Tăng cường thoát nước,Bảo vệ cây khỏi suy kiệt
Cải bẹ,Độ ẩm không khí cao,Tưới nước định kỳ,Hạn chế ảnh hưởng của cháy lá
Ớt,Có áp thấp nhiệt đới,Tăng cường thoát nước,Giúp cây tránh sốc nhiệt
Mía,Độ ẩm thấp,Theo dõi sát thời tiết,Giảm nguy cơ sâu xanh
Dưa hấu,Gió mạnh,Bón vôi cải tạo đất,Hạn chế ảnh hưởng của rụng hoa
Bắp cải,Có áp thấp nhiệt đới,Phun thuốc phòng bệnh,Giúp cây tránh sốc nhiệt
Mía,Trời lạnh buổi sáng,Phun chế phẩm sinh học,Hạn chế ảnh hưởng của héo rũ
Cải bẹ,Nhiệt độ cao > 35°C,Dừng bón phân đạm,Giúp cây tránh rụng hoa
Dưa hấu,Nắng gắt,Che phủ rơm/gỗ mục,Tăng khả năng chống chịu với sốc nhiệt
Ngô,Trời âm u,Dừng bón phân đạm,Giảm nguy cơ đạo ôn
Bắp cải,Sương mù dày,Trì hoãn gieo trồng,Giảm nguy cơ nảy mầm kém
Dưa hấu,Trời nhiều mây,Phun thuốc phòng bệnh,Hạn chế ảnh hưởng của đạo ôn
Chuối,Nhiệt độ thấp < 15°C,Bón phân hữu cơ,Bảo vệ cây khỏi cháy lá
Lúa,Trời nhiều mây,Bắt sâu thủ công,Bảo vệ cây khỏi bạc lá
Đậu phụng,Có áp thấp nhiệt đới,Che chắn bằng lưới,Tăng khả năng chống chịu với cháy lá
Sắn,Nhiệt độ thấp < 15°C,Theo dõi sát thời tiết,Hạn chế ảnh hưởng của rụng hoa
Thanh long,Nhiệt độ dao động mạnh trong ngày,Dừng bón phân đạm,Tăng khả năng chống chịu với đạo ôn
Dưa leo,Trời âm u,Tưới nhỏ giọt,Hạn chế ảnh hưởng của héo rũ
Thanh long,Sương mù dày,Gieo trồng sớm hơn 5 ngày,Giảm nguy cơ héo rũ
Đậu phụng,Nắng nhẹ sau mưa,Bón vôi cải tạo đất,Tăng khả năng chống chịu với sốc nhiệt
Ngô,Nắng gắt,Che phủ rơm/gỗ mục,Giảm nguy cơ sốc nhiệt
Sắn,Nhiệt độ cao > 35°C,Che phủ rơm/gỗ mục,Bảo vệ cây khỏi thiếu nước
Rau màu,Mưa rào nhẹ,Trì hoãn gieo trồng,Tăng khả năng chống chịu với nấm bệnh
Ngô,Nắng nhẹ sau mưa,Tỉa thưa cây con,Giảm nguy cơ vàng lá
Dưa hấu,Sương mù dày,Phun thuốc phòng bệnh,Bảo vệ cây khỏi thiếu nước
Dưa leo,Trời âm u,Bón vôi cải tạo đất,Hạn chế ảnh hưởng của thiếu nước
Mía,Độ ẩm không khí cao,Bón vôi cải tạo đất,Giúp cây tránh vàng lá
Cà chua,Nhiệt độ thấp < 15°C,Đào mương xung quanh ruộng,Tăng khả năng chống chịu với suy kiệt
Dưa hấu,Độ ẩm thấp,Tưới nước định kỳ,Bảo vệ cây khỏi nấm bệnh
Sắn,Gió mạnh,Tưới nước định kỳ,Giúp cây tránh sâu xanh
Cà tím,Mưa rào nhẹ,Bón vôi cải tạo đất,Giúp cây tránh bạc lá
Dưa leo,Trời nhiều mây,Phun chế phẩm sinh học,Tăng khả năng chống chịu với rụng hoa
Mía,Nhiều ngày nắng,Phun thuốc phòng bệnh,Giúp cây tránh héo rũ
Sắn,Trời âm u,Phun chế phẩm sinh học,Bảo vệ cây khỏi suy kiệt
Đậu phụng,Độ ẩm không khí cao,Phun chế phẩm sinh học,Tăng khả năng chống chịu với ngập úng
Mía,Trời lạnh buổi sáng,Bón vôi cải tạo đất,Giảm nguy cơ nấm bệnh
Sắn,Trời âm u,Tỉa thưa cây con,Giảm nguy cơ nảy mầm kém
Dưa leo,Có áp thấp nhiệt đới,Trì hoãn gieo trồng,Hạn chế ảnh hưởng của ngập úng
Cải bẹ,Nắng gắt,Theo dõi sát thời tiết,Giúp cây tránh bạc lá
Ngô,Trời nhiều mây,Đào mương xung quanh ruộng,Tăng khả năng chống chịu với sâu xanh
Cà tím,Nhiệt độ cao > 35°C,Che phủ rơm/gỗ mục,Giảm nguy cơ cháy lá
Đậu phụng,Mưa rào nhẹ,Theo dõi sát thời tiết,Giảm nguy cơ nấm bệnh
Xoài,Nhiều ngày nắng,Phun thuốc phòng bệnh,Hạn chế ảnh hưởng của vàng lá
Ngô,Độ ẩm không khí cao,Trì hoãn gieo trồng,Bảo vệ cây khỏi nấm bệnh
Cà tím,Độ ẩm không khí cao,Gieo trồng sớm hơn 5 ngày,Giúp cây tránh đạo ôn
Chuối,Trời âm u,Dừng bón phân đạm,Giúp cây tránh héo rũ
Sắn,Mưa lớn,Trì hoãn gieo trồng,Giúp cây tránh cháy lá
Thanh long,Mưa lớn,Bón phân hữu cơ,Tăng khả năng chống chịu với bạc lá
Rau màu,Nhiệt độ cao > 35°C,Theo dõi sát thời tiết,Giúp cây tránh rụng hoa
Cải bẹ,Nhiều ngày nắng,Tỉa thưa cây con,Bảo vệ cây khỏi thối rễ
Mía,Độ ẩm không khí cao,Đào mương xung quanh ruộng,Giúp cây tránh rụng hoa
Ngô,Gió mạnh,Che phủ rơm/gỗ mục,Bảo vệ cây khỏi nấm bệnh
Dưa leo,Trời lạnh buổi sáng,Che phủ rơm/gỗ mục,Tăng khả năng chống chịu với bạc lá
Đậu phụng,Độ ẩm không khí cao,Bón phân hữu cơ,Bảo vệ cây khỏi vàng lá
Thanh long,Nắng gắt,Tưới nước định kỳ,Hạn chế ảnh hưởng của rụng hoa
Cải bẹ,Nhiệt độ cao > 35°C,Tưới nước định kỳ,Giảm nguy cơ sâu xanh
Cải bẹ,Độ ẩm thấp,Bón phân hữu cơ,Hạn chế ảnh hưởng của vàng lá
Thanh long,Sương mù dày,Tưới nhỏ giọt,Giảm nguy cơ ngập úng
Ớt,Có áp thấp nhiệt đới,Dừng bón phân đạm,Hạn chế ảnh hưởng của vàng lá
Đậu phụng,Nắng nhẹ sau mưa,Gieo trồng sớm hơn 5 ngày,Giảm nguy cơ thối rễ
Mía,Trời âm u,Tưới nước định kỳ,Giúp cây tránh héo rũ
Bắp cải,Độ ẩm thấp,Theo dõi sát thời tiết,Bảo vệ cây khỏi sâu xanh
Cải bẹ,Sương mù dày,Tỉa thưa cây con,Giúp cây tránh cháy lá
Mía,Nắng gắt,Bón phân hữu cơ,Bảo vệ cây khỏi ngập úng
Cải bẹ,Trời âm u,Tỉa thưa cây con,Tăng khả năng chống chịu với nấm bệnh
Lúa,Mưa rào nhẹ,Tưới nhỏ giọt,Tăng khả năng chống chịu với sốc nhiệt
Dưa leo,Trời nhiều mây,Bắt sâu thủ công,Bảo vệ cây khỏi nảy mầm kém
Dưa hấu,Độ ẩm thấp,Tưới nước định kỳ,Bảo vệ cây khỏi suy kiệt
Lúa,Nhiệt độ thấp < 15°C,Phun thuốc phòng bệnh,Hạn chế ảnh hưởng của vàng lá
Thanh long,Độ ẩm thấp,Bón phân hữu cơ,Tăng khả năng chống chịu với ngập úng
Cà chua,Nắng gắt,Bắt sâu thủ công,Giúp cây tránh cháy lá
Dưa hấu,Sương mù dày,Tưới nhỏ giọt,Tăng khả năng chống chịu với thiếu nước
Cà tím,Trời lạnh buổi sáng,Dừng bón phân đạm,Giúp cây tránh ngập úng
Cải bẹ,Mưa rào nhẹ,Che phủ rơm/gỗ mục,Giúp cây tránh đạo ôn
Dưa hấu,Trời nhiều mây,Tưới nước định kỳ,Giúp cây tránh nảy mầm kém
Đậu phụng,Độ ẩm không khí cao,Bón vôi cải tạo đất,Giúp cây tránh sâu xanh
Mía,Gió mạnh,Trì hoãn gieo trồng,Tăng khả năng chống chịu với ngập úng
Cà chua,Gió mạnh,Tăng cường thoát nước,Giảm nguy cơ thiếu nước
Dưa hấu,Mưa lớn,Bón phân hữu cơ,Giúp cây tránh rụng hoa
Bắp cải,Mưa lớn,Bón vôi cải tạo đất,Bảo vệ cây khỏi vàng lá
Mía,Nắng gắt,Bắt sâu thủ công,Hạn chế ảnh hưởng của vàng lá
Sắn,Trời lạnh buổi sáng,Đào mương xung quanh ruộng,Hạn chế ảnh hưởng của sốc nhiệt
Rau màu,Độ ẩm thấp,Theo dõi sát thời tiết,Bảo vệ cây khỏi vàng lá
Lúa,Nhiều ngày nắng,Phun thuốc phòng bệnh,Bảo vệ cây khỏi thối rễ
Ớt,Mưa lớn,Tưới nước định kỳ,Hạn chế ảnh hưởng của héo rũ
Mía,Nắng gắt,Phun chế phẩm sinh học,Bảo vệ cây khỏi thiếu nước
Ngô,Có áp thấp nhiệt đới,Trì hoãn gieo trồng,Bảo vệ cây khỏi cháy lá
Bắp cải,Độ ẩm không khí cao,Đào mương xung quanh ruộng,Bảo vệ cây khỏi thối rễ
Dưa hấu,Gió mạnh,Dừng bón phân đạm,Hạn chế ảnh hưởng của thối rễ
Bắp cải,Độ ẩm thấp,Phun chế phẩm sinh học,Giảm nguy cơ suy kiệt
Bắp cải,Nhiều ngày nắng,Tưới nhỏ giọt,Hạn chế ảnh hưởng của suy kiệt
Cà chua,Trời âm u,Tỉa thưa cây con,Giảm nguy cơ ngập úng
Bắp cải,Độ ẩm không khí cao,Tăng cường thoát nước,Tăng khả năng chống chịu với sâu xanh
Ớt,Sương mù dày,Phun thuốc phòng bệnh,Bảo vệ cây khỏi bạc lá
Đậu phụng,Nhiệt độ dao động mạnh trong ngày,Trì hoãn gieo trồng,Tăng khả năng chống chịu với suy kiệt
Bắp cải,Trời âm u,Bắt sâu thủ công,Bảo vệ cây khỏi cháy lá
Thanh long,Trời nhiều mây,Trì hoãn gieo trồng,Giúp cây tránh bạc lá
Cải bẹ,Độ ẩm thấp,Tưới nước định kỳ,Tăng khả năng chống chịu với đạo ôn
Đậu phụng,Trời lạnh buổi sáng,Bón vôi cải tạo đất,Giảm nguy cơ nấm bệnh
Bắp cải,Trời nhiều mây,Tưới nước định kỳ,Tăng khả năng chống chịu với nảy mầm kém
Thanh long,Gió mạnh,Phun thuốc phòng bệnh,Tăng khả năng chống chịu với sốc nhiệt
Ngô,Trời lạnh buổi sáng,Theo dõi sát thời tiết,Hạn chế ảnh hưởng của suy kiệt
Đậu phụng,Gió mạnh,Bón phân hữu cơ,Hạn chế ảnh hưởng của suy kiệt
Đậu phụng,Nhiều ngày nắng,Gieo trồng sớm hơn 5 ngày,Tăng khả năng chống chịu với thiếu nước
Sắn,Nắng gắt,Trì hoãn gieo trồng,Tăng khả năng chống chịu với suy kiệt
Sắn,Trời lạnh buổi sáng,Dừng bón phân đạm,Giảm nguy cơ sốc nhiệt
Ngô,Mưa rào nhẹ,Gieo trồng sớm hơn 5 ngày,Hạn chế ảnh hưởng của nấm bệnh
Thanh long,Có áp thấp nhiệt đới,Phun chế phẩm sinh học,Giúp cây tránh sốc nhiệt
Đậu phụng,Mưa lớn,Che phủ rơm/gỗ mục,Giảm nguy cơ thối rễ
Lúa,Nắng nhẹ sau mưa,Gieo trồng sớm hơn 5 ngày,Giúp cây tránh vàng lá
Mía,Sương mù dày,Phun thuốc phòng bệnh,Hạn chế ảnh hưởng của thối rễ
Mía,Gió mạnh,Bón phân hữu cơ,Giảm nguy cơ thối rễ
Ớt,Mưa lớn,Bón vôi cải tạo đất,Bảo vệ cây khỏi cháy lá
Rau màu,Nhiều ngày nắng,Bắt sâu thủ công,Giảm nguy cơ nảy mầm kém
Cà tím,Sương mù dày,Che phủ rơm/gỗ mục,Giúp cây tránh suy kiệt
Bắp cải,Gió mạnh,Gieo trồng sớm hơn 5 ngày,Tăng khả năng chống chịu với bạc lá
Cà tím,Sương mù dày,Phun chế phẩm sinh học,Giúp cây tránh bạc lá
Cà chua,Trời nhiều mây,Theo dõi sát thời tiết,Bảo vệ cây khỏi sốc nhiệt
Cải bẹ,Nắng nhẹ sau mưa,Tăng cường thoát nước,Tăng khả năng chống chịu với vàng lá
Cà chua,Nắng nhẹ sau mưa,Bón vôi cải tạo đất,Giúp cây tránh suy kiệt
Xoài,Trời lạnh buổi sáng,Tưới nhỏ giọt,Giúp cây tránh đạo ôn
Sắn,Nhiệt độ dao động mạnh trong ngày,Tưới nước định kỳ,Bảo vệ cây khỏi thiếu nước
Bắp cải,Nắng nhẹ sau mưa,Bắt sâu thủ công,Giảm nguy cơ rụng hoa
Đậu phụng,Nhiệt độ dao động mạnh trong ngày,Tưới nước định kỳ,Giảm nguy cơ sâu xanh
Xoài,Độ ẩm không khí cao,Phun thuốc phòng bệnh,Giảm nguy cơ bạc lá
Ớt,Nhiệt độ thấp < 15°C,Gieo trồng sớm hơn 5 ngày,Giúp cây tránh sâu xanh
Mía,Nắng gắt,Bón vôi cải tạo đất,Tăng khả năng chống chịu với nấm bệnh
Thanh long,Độ ẩm không khí cao,Che phủ rơm/gỗ mục,Giảm nguy cơ thối rễ
Rau màu,Sương mù dày,Tăng cường thoát nước,Giúp cây tránh héo rũ
Cà tím,Gió mạnh,Dừng bón phân đạm,Giúp cây tránh sốc nhiệt
Ớt,Gió mạnh,Gieo trồng sớm hơn 5 ngày,Giúp cây tránh thiếu nước
Bắp cải,Trời âm u,Theo dõi sát thời tiết,Hạn chế ảnh hưởng của thiếu nước
Thanh long,Nhiệt độ cao > 35°C,Tăng cường thoát nước,Tăng khả năng chống chịu với thối rễ
Đậu phụng,Độ ẩm không khí cao,Phun chế phẩm sinh học,Tăng khả năng chống chịu với thối rễ
Chuối,Độ ẩm thấp,Gieo trồng sớm hơn 5 ngày,Giảm nguy cơ rụng hoa
Ớt,Nắng nhẹ sau mưa,Tưới nước định kỳ,Tăng khả năng chống chịu với bạc lá
Cà chua,Nhiệt độ dao động mạnh trong ngày,Che chắn bằng lưới,Bảo vệ cây khỏi đạo ôn
Thanh long,Nhiệt độ cao > 35°C,Phun thuốc phòng bệnh,Bảo vệ cây khỏi bạc lá
Mía,Nhiệt độ cao > 35°C,Tưới nhỏ giọt,Tăng khả năng chống chịu với rụng hoa
Cà tím,Sương mù dày,Bắt sâu thủ công,Tăng khả năng chống chịu với vàng lá
Dưa leo,Trời âm u,Bón phân hữu cơ,Tăng khả năng chống chịu với héo rũ
Mía,Nhiệt độ thấp < 15°C,Phun chế phẩm sinh học,Hạn chế ảnh hưởng của thối rễ
Mía,Mưa rào nhẹ,Tưới nước định kỳ,Hạn chế ảnh hưởng của nấm bệnh
Cà chua,Nhiệt độ thấp < 15°C,Che chắn bằng lưới,Tăng khả năng chống chịu với thối rễ
Ngô,Sương mù dày,Tăng cường thoát nước,Hạn chế ảnh hưởng của nảy mầm kém
Chuối,Nhiệt độ thấp < 15°C,Phun chế phẩm sinh học,Giảm nguy cơ đạo ôn
Dưa hấu,Trời nhiều mây,Che chắn bằng lưới,Giúp cây tránh thiếu nước
Dưa leo,Gió mạnh,Che chắn bằng lưới,Tăng khả năng chống chịu với đạo ôn
Đậu phụng,Trời lạnh buổi sáng,Dừng bón phân đạm,Bảo vệ cây khỏi bạc lá
Thanh long,Gió mạnh,Tưới nước định kỳ,Giúp cây tránh thiếu nước
Chuối,Có áp thấp nhiệt đới,Bón vôi cải tạo đất,Giúp cây tránh sâu xanh
Đậu phụng,Trời lạnh buổi sáng,Đào mương xung quanh ruộng,Giảm nguy cơ suy kiệt
Ớt,Nhiều ngày nắng,Che chắn bằng lưới,Giúp cây tránh cháy lá
Sắn,Mưa rào nhẹ,Gieo trồng sớm hơn 5 ngày,Bảo vệ cây khỏi cháy lá
Dưa hấu,Nhiệt độ cao > 35°C,Đào mương xung quanh ruộng,Tăng khả năng chống chịu với vàng lá
Thanh long,Nắng nhẹ sau mưa,Che phủ rơm/gỗ mục,Bảo vệ cây khỏi thiếu nước
Lúa,Gió mạnh,Tưới nước định kỳ,Tăng khả năng chống chịu với cháy lá
Bắp cải,Nắng nhẹ sau mưa,Bón phân hữu cơ,Hạn chế ảnh hưởng của sốc nhiệt
Chuối,Nắng gắt,Phun chế phẩm sinh học,Giúp cây tránh suy kiệt
Cải bẹ,Sương mù dày,Bắt sâu thủ công,Giúp cây tránh thối rễ
Xoài,Có áp thấp nhiệt đới,Tỉa thưa cây con,Tăng khả năng chống chịu với sâu xanh
Lúa,Độ ẩm thấp,Dừng bón phân đạm,Giúp cây tránh thối rễ
Sắn,Nhiệt độ dao động mạnh trong ngày,Theo dõi sát thời tiết,Hạn chế ảnh hưởng của vàng lá
Mía,Nắng nhẹ sau mưa,Tưới nhỏ giọt,Tăng khả năng chống chịu với thối rễ
Xoài,Độ ẩm thấp,Che phủ rơm/gỗ mục,Giảm nguy cơ vàng lá
Lúa,Trời lạnh buổi sáng,Đào mương xung quanh ruộng,Bảo vệ cây khỏi nảy mầm kém
Dưa hấu,Nhiệt độ cao > 35°C,Tưới nước định kỳ,Tăng khả năng chống chịu với thối rễ
Cà chua,Độ ẩm không khí cao,Bón phân hữu cơ,Bảo vệ cây khỏi đạo ôn
Bắp cải,Mưa lớn,Tỉa thưa cây con,Bảo vệ cây khỏi héo rũ
Ớt,Có áp thấp nhiệt đới,Bón phân hữu cơ,Bảo vệ cây khỏi cháy lá
Xoài,Độ ẩm không khí cao,Bón vôi cải tạo đất,Tăng khả năng chống chịu với ngập úng
Sắn,Mưa rào nhẹ,Phun chế phẩm sinh học,Hạn chế ảnh hưởng của héo rũ
