Date,AverTemp(°C),Precipitation(mm),AverHumidity(%),WindSpeed(m/s),SunDuration(giờ),AtmosPressure(hPa),WeatherCondition
2015-03-07,24.45,0.0,84.13,3.88,0.18725,100.73,Bình thường
2015-03-08,24.42,0.0,84.28,3.24,0.191,100.8,Bình thường
2015-03-09,24.63,0.0,87.36,3.13,0.1995833333333333,100.93,Bình thường
2015-03-10,24.1,0.0,85.12,3.0,0.2022499999999999,101.02,Bình thường
2015-03-11,24.5,0.0,80.89,3.0,0.1725833333333333,101.05,Bình thường
2015-03-12,24.5,3.86,86.33,1.81,0.1391666666666666,100.98,Bình thường
2015-03-13,24.8,3.49,86.1,2.84,0.12975,100.85,Bình thường
2015-03-14,24.93,0.75,88.01,2.84,0.1609166666666666,100.84,Bình thường
2015-03-15,25.27,2.39,85.64,3.79,0.1717499999999999,100.75,Bình thường
2015-03-16,25.5,0.57,82.58,4.12,0.1707499999999999,100.62,Bình thường
2015-03-17,25.49,0.02,80.69,4.26,0.1707499999999999,100.36,Bình thường
2015-03-18,25.49,0.0,82.36,3.86,0.1813333333333333,100.24,Bình thường
2015-03-19,24.95,0.0,82.36,4.18,0.1790833333333333,100.4,Bình thường
2015-03-20,24.08,0.0,82.68,4.4,0.2031666666666666,100.64,Bình thường
2015-03-21,23.81,0.0,85.34,2.19,0.2031666666666666,100.87,Bình thường
2015-03-22,23.81,0.06,79.81,1.73,0.184,100.87,Bình thường
2015-03-23,24.31,0.23,81.73,1.59,0.19525,100.83,Bình thường
2015-03-24,24.72,3.02,86.83,2.98,0.1313333333333333,100.98,Bình thường
2015-03-25,24.67,8.14,88.34,4.1,0.0795833333333333,100.98,Mưa lớn
2015-03-26,24.62,4.71,90.32,2.8,0.131,101.16,Độ ẩm cao
2015-03-27,24.37,2.24,92.11,2.45,0.0487499999999999,101.1,"Mưa lớn, Độ ẩm cao"
2015-03-28,24.46,2.24,91.26,1.92,0.13225,100.9,"Mưa lớn, Độ ẩm cao"
2015-03-29,24.94,2.24,87.72,1.95,0.1652499999999999,100.72,Mưa lớn
2015-03-30,25.06,2.65,85.82,1.95,0.1329166666666666,100.66,Bình thường
2015-03-31,25.36,0.77,86.86,3.63,0.2028333333333333,100.66,Bình thường
2015-04-01,25.56,0.18,86.65,3.68,0.2028333333333333,100.36,Bình thường
2015-04-02,26.2,0.0,85.18,3.69,0.2003333333333333,100.36,Bình thường
2015-04-03,26.81,0.0,85.14,3.64,0.1625833333333333,99.95,Bình thường
2015-04-04,26.81,0.01,85.66,3.96,0.1625833333333333,99.95,Bình thường
2015-04-05,26.09,0.01,85.66,3.9,0.1945833333333333,100.2,Bình thường
2015-04-06,25.17,0.01,85.72,3.39,0.1789166666666666,100.34,Bình thường
2015-04-07,25.06,0.04,85.49,2.66,0.216,100.49,Bình thường
2015-04-08,25.21,0.13,85.49,1.67,0.216,100.75,Bình thường
2015-04-09,25.29,0.7,87.36,2.46,0.1641666666666666,100.72,Bình thường
2015-04-10,25.36,0.36,87.89,2.46,0.1825,100.72,Bình thường
2015-04-11,25.17,6.99,88.84,2.68,0.1415833333333333,100.72,Mưa lớn
2015-04-12,24.82,6.99,88.84,4.36,0.0648333333333333,101.0,"Mưa lớn, Độ ẩm cao"
2015-04-13,23.52,7.06,80.62,4.22,0.0643333333333333,101.13,Mưa lớn
2015-04-14,23.94,0.45,71.37,3.23,0.18225,101.05,Bình thường
2015-04-15,23.95,0.01,83.91,2.47,0.2074166666666666,101.05,Bình thường
2015-04-16,24.27,0.0,77.11,2.47,0.21175,100.75,Bình thường
2015-04-17,25.79,0.0,82.83,3.87,0.1966666666666666,100.39,Bình thường
2015-04-18,26.85,0.0,82.83,3.88,0.1966666666666666,100.19,Bình thường
2015-04-19,27.42,0.0,81.86,3.45,0.1929166666666666,100.18,Bình thường
2015-04-20,27.42,0.0,76.37,2.55,0.1980833333333333,100.08,Bình thường
2015-04-21,27.13,5.45,86.09,1.44,0.16425,100.26,Mưa lớn
2015-04-22,26.11,8.71,91.11,1.89,0.13075,100.57,"Mưa lớn, Độ ẩm cao"
2015-04-23,26.02,5.01,89.23,1.8,0.1785833333333333,100.76,Mưa lớn
2015-04-24,26.12,4.98,85.81,1.75,0.1835,100.79,Bình thường
2015-04-25,26.04,3.0,85.06,2.5,0.1403333333333333,100.75,Bình thường
2015-04-26,26.27,1.16,80.49,2.58,0.162,100.76,Bình thường
2015-04-27,26.35,0.31,81.31,1.97,0.2080833333333333,100.64,Bình thường
2015-04-28,26.94,0.06,83.47,2.67,0.2078333333333333,100.49,Bình thường
2015-04-29,27.24,0.14,84.22,3.34,0.2003333333333333,100.42,Bình thường
2015-04-30,27.51,0.19,81.82,2.93,0.2003333333333333,100.38,Bình thường
2015-05-01,27.51,0.47,80.25,3.73,0.18575,100.24,Bình thường
2015-05-02,28.1,0.09,81.22,2.98,0.18275,100.21,Bình thường
2015-05-03,28.39,0.01,81.33,2.98,0.2013333333333333,100.25,Bình thường
2015-05-04,28.46,0.01,81.81,3.01,0.21,100.25,Bình thường
2015-05-05,28.46,0.02,81.85,2.75,0.1970833333333333,100.08,Bình thường
2015-05-06,28.47,0.23,78.94,3.05,0.1620833333333333,100.04,Bình thường
2015-05-07,28.42,0.57,83.08,3.38,0.183,100.11,Bình thường
2015-05-08,28.78,0.37,80.41,3.26,0.16825,100.03,Bình thường
2015-05-09,28.17,0.72,83.18,3.26,0.2034166666666666,100.09,Bình thường
2015-05-10,28.53,0.35,79.46,2.15,0.1958333333333333,100.18,Bình thường
2015-05-11,28.39,1.23,81.19,3.29,0.1659166666666666,100.18,Bình thường
2015-05-12,28.25,1.11,79.34,3.47,0.1976666666666666,100.29,Bình thường
2015-05-13,28.12,1.11,80.35,3.53,0.2025833333333333,100.36,Bình thường
2015-05-14,28.46,0.27,81.02,3.49,0.2124166666666666,100.4,Bình thường
2015-05-15,28.46,0.34,81.02,3.21,0.20575,100.38,Bình thường
2015-05-16,28.81,1.59,80.16,3.21,0.184,100.21,Bình thường
2015-05-17,27.97,3.02,83.49,3.38,0.1848333333333333,100.12,Bình thường
2015-05-18,28.45,3.02,81.32,2.79,0.1942499999999999,100.1,Bình thường
2015-05-19,29.34,2.4,79.43,2.11,0.1766666666666666,100.04,Bình thường
2015-05-20,29.34,1.88,83.82,2.52,0.1766666666666666,100.15,Bình thường
2015-05-21,28.94,0.19,79.93,2.41,0.1766666666666666,100.19,Bình thường
2015-05-22,29.03,0.19,81.71,2.9,0.2046666666666666,100.11,Bình thường
2015-05-23,28.27,0.15,81.71,1.9,0.1919166666666666,100.14,Bình thường
2015-05-24,29.5,0.09,78.64,2.09,0.1981666666666666,100.09,Bình thường
2015-05-25,29.5,0.22,79.69,2.44,0.2036666666666667,100.09,Bình thường
2015-05-26,29.75,0.38,76.74,2.62,0.2080833333333333,100.09,Bình thường
2015-05-27,29.18,0.27,79.79,1.9,0.2085,100.07,Bình thường
2015-05-28,29.94,0.08,73.73,2.89,0.2198333333333333,100.07,Bình thường
2015-05-29,30.43,0.07,73.79,3.03,0.2201666666666666,99.94,Bình thường
2015-05-30,30.43,0.3,73.81,3.03,0.2129166666666666,100.04,Bình thường
2015-05-31,30.06,2.18,73.81,2.47,0.2059166666666666,99.99,Bình thường
2015-06-01,29.84,2.49,78.14,2.6,0.2059166666666666,99.96,Bình thường
2015-06-02,29.38,2.15,78.14,2.6,0.1894999999999999,100.08,Bình thường
2015-06-03,28.87,1.45,80.21,2.89,0.2066666666666666,100.08,Bình thường
2015-06-04,28.96,0.4,78.49,2.95,0.216,100.19,Bình thường
2015-06-05,29.21,0.14,77.15,3.02,0.2066666666666666,100.07,Bình thường
2015-06-06,29.25,0.19,77.55,3.37,0.2066666666666666,100.02,Bình thường
2015-06-07,29.01,0.11,75.98,3.45,0.2134166666666666,100.07,Bình thường
2015-06-08,29.23,0.42,77.19,2.62,0.2121666666666666,100.07,Bình thường
2015-06-09,29.75,0.42,75.75,2.52,0.21175,100.03,Bình thường
2015-06-10,30.27,0.15,74.85,3.58,0.2168333333333333,100.01,Bình thường
2015-06-11,30.17,0.01,74.54,3.26,0.2141666666666666,100.06,Bình thường
2015-06-12,29.56,0.0,75.24,3.26,0.21475,100.1,Bình thường
2015-06-13,28.58,0.0,78.38,2.91,0.1978333333333333,100.07,Bình thường
2015-06-14,28.95,0.01,78.22,3.28,0.2093333333333333,100.07,Bình thường
2015-06-15,29.0,0.02,78.08,3.67,0.2093333333333333,100.11,Bình thường
2015-06-16,29.0,0.01,76.98,3.54,0.1945,100.09,Bình thường
2015-06-17,28.5,0.01,79.4,3.09,0.2105833333333333,99.94,Bình thường
2015-06-18,28.65,0.02,77.62,3.09,0.2073333333333333,99.88,Bình thường
2015-06-19,29.28,0.02,72.39,3.09,0.0936666666666666,99.89,Bình thường
2015-06-20,29.28,2.08,74.43,2.56,0.0551666666666666,99.89,Bình thường
2015-06-21,28.16,5.27,81.64,3.3,0.0292499999999999,99.89,Mưa lớn
2015-06-22,28.11,8.36,82.41,2.14,0.0498333333333333,99.54,Mưa lớn
2015-06-23,28.93,1.09,82.41,1.66,0.1049166666666666,99.55,Bình thường
2015-06-24,29.53,0.1,82.41,1.25,0.12375,99.73,Bình thường
2015-06-25,29.75,0.05,70.77,2.21,0.1905833333333333,99.84,Bình thường
2015-06-26,29.91,0.09,70.16,2.23,0.1895833333333333,99.93,Bình thường
2015-06-27,30.02,0.09,72.64,2.53,0.2095,100.15,Bình thường
2015-06-28,30.0,0.07,72.81,2.42,0.2161666666666666,100.32,Bình thường
2015-06-29,30.0,0.08,70.18,2.54,0.2101666666666666,100.19,Bình thường
2015-06-30,30.45,0.03,71.89,2.4,0.2149166666666666,100.06,Bình thường
2015-07-01,31.01,0.0,83.91,2.63,0.2193333333333333,99.91,Bình thường
2015-07-02,31.3,0.0,83.91,2.43,0.21525,99.78,Bình thường
2015-07-03,31.3,0.0,83.91,2.39,0.2129166666666666,99.64,Bình thường
2015-07-04,31.3,0.0,83.91,2.65,0.2027499999999999,99.53,Bình thường
2015-07-05,29.72,0.0,79.1,2.13,0.1803333333333333,99.61,Bình thường
2015-07-06,28.74,2.36,77.37,2.15,0.1489166666666666,99.72,Bình thường
2015-07-07,27.89,6.91,86.7,1.86,0.1613333333333333,99.66,Mưa lớn
2015-07-08,27.53,7.37,85.16,2.41,0.1140833333333333,99.74,Mưa lớn
2015-07-09,28.7,2.16,74.08,2.52,0.1908333333333333,99.65,Bình thường
2015-07-10,29.01,1.3,74.08,3.22,0.1554166666666666,99.61,Bình thường
2015-07-11,29.18,1.52,74.7,3.22,0.1585833333333333,99.66,Bình thường
2015-07-12,29.18,2.8,81.95,1.73,0.1285833333333333,99.63,Bình thường
2015-07-13,28.81,1.35,81.95,2.48,0.17825,99.64,Bình thường
2015-07-14,28.81,3.78,80.59,2.11,0.1659166666666666,99.65,Bình thường
2015-07-15,29.45,1.05,80.27,2.23,0.1483333333333333,99.68,Bình thường
2015-07-16,29.45,0.39,78.51,2.57,0.09325,99.71,Bình thường
2015-07-17,29.5,0.73,78.04,2.0,0.1143333333333333,99.82,Bình thường
2015-07-18,28.64,1.02,80.01,1.69,0.1030833333333333,99.85,Bình thường
2015-07-19,28.68,1.7,72.52,2.1,0.0454166666666666,99.82,Bình thường
2015-07-20,28.85,0.8,72.52,2.47,0.0454166666666666,100.02,Bình thường
2015-07-21,29.34,0.56,75.72,2.43,0.1631666666666666,100.23,Bình thường
2015-07-22,29.3,0.53,74.39,2.43,0.1713333333333333,100.3,Bình thường
2015-07-23,29.3,0.77,75.39,2.31,0.1855833333333333,100.23,Bình thường
2015-07-24,29.76,0.15,70.47,2.51,0.2012499999999999,100.2,Bình thường
2015-07-25,29.51,1.0,70.47,2.31,0.1420833333333333,100.2,Bình thường
2015-07-26,28.77,1.28,75.77,1.79,0.1226666666666666,100.29,Bình thường
2015-07-27,28.03,1.33,75.85,2.4,0.11925,100.51,Bình thường
2015-07-28,27.47,2.38,77.66,2.84,0.06875,100.51,Bình thường
2015-07-29,27.45,0.87,74.73,2.47,0.09375,100.51,Bình thường
2015-07-30,27.98,2.72,74.04,2.04,0.0678333333333333,100.43,Bình thường
2015-07-31,27.98,3.91,72.61,2.04,0.1038333333333333,100.38,Bình thường
2015-08-01,28.25,9.96,77.19,2.92,0.1329166666666666,100.32,Mưa lớn
2015-08-02,27.76,7.86,79.6,2.48,0.1805833333333333,100.33,Mưa lớn
2015-08-03,28.02,3.99,79.6,3.3,0.1945,100.28,Bình thường
2015-08-04,28.12,0.75,82.54,2.81,0.1906666666666666,100.14,Bình thường
2015-08-05,28.58,0.63,81.07,2.64,0.2045833333333333,99.93,Bình thường
2015-08-06,28.98,0.24,79.17,2.97,0.1982499999999999,99.82,Bình thường
2015-08-07,29.2,0.05,71.0,2.04,0.2011666666666666,99.92,Bình thường
2015-08-08,29.04,0.1,71.0,1.81,0.2048333333333333,99.77,Bình thường
2015-08-09,29.15,0.47,78.86,2.2,0.1823333333333333,99.6,Bình thường
2015-08-10,29.37,1.21,81.18,2.68,0.2013333333333333,99.78,Bình thường
2015-08-11,29.17,1.16,82.38,2.68,0.1589999999999999,100.0,Bình thường
2015-08-12,28.77,2.2,80.71,2.83,0.1431666666666666,100.1,Bình thường
2015-08-13,29.78,1.01,78.13,1.95,0.1431666666666666,100.14,Bình thường
2015-08-14,30.07,0.5,76.05,1.95,0.2091666666666666,100.12,Bình thường
2015-08-15,30.14,0.54,75.29,2.47,0.2121666666666666,100.2,Bình thường
2015-08-16,30.33,0.64,71.44,2.39,0.2068333333333333,100.21,Bình thường
2015-08-17,30.38,0.36,74.15,2.53,0.2020833333333333,100.13,Bình thường
2015-08-18,30.38,0.15,74.37,2.3,0.2170833333333333,100.08,Bình thường
2015-08-19,29.98,0.15,75.84,2.63,0.2111666666666666,100.03,Bình thường
2015-08-20,29.89,1.65,77.77,2.27,0.2131666666666666,99.99,Bình thường
2015-08-21,29.95,2.39,75.99,2.6,0.1960833333333333,99.91,Bình thường
2015-08-22,30.08,3.56,74.57,2.28,0.19775,99.81,Bình thường
2015-08-23,29.78,5.73,76.86,2.24,0.1876666666666666,99.81,Mưa lớn
2015-08-24,29.81,16.94,77.71,2.41,0.1886666666666666,99.81,Mưa lớn
2015-08-25,28.75,2.24,83.57,2.53,0.1886666666666666,99.91,Mưa lớn
2015-08-26,28.84,2.24,82.26,2.53,0.1629166666666666,100.09,Mưa lớn
2015-08-27,28.84,8.35,79.46,2.29,0.152,100.19,Mưa lớn
2015-08-28,28.65,8.35,79.9,1.92,0.1720833333333333,100.09,Bình thường
2015-08-29,28.97,2.8,79.92,1.89,0.1713333333333333,100.01,Bình thường
2015-08-30,29.09,5.51,81.1,1.62,0.1498333333333333,100.07,Mưa lớn
2015-08-31,28.61,2.95,76.89,1.68,0.1223333333333333,100.12,Bình thường
2015-09-01,28.57,1.21,77.9,1.95,0.126,100.04,Bình thường
2015-09-02,29.12,2.37,74.79,1.99,0.15425,100.17,Bình thường
2015-09-03,29.17,2.37,80.13,2.76,0.1856666666666666,100.32,Bình thường
2015-09-04,29.19,1.55,81.9,3.51,0.1748333333333333,100.46,Bình thường
2015-09-05,29.55,1.06,77.03,3.55,0.1748333333333333,100.43,Bình thường
2015-09-06,29.93,1.37,73.16,2.26,0.2098333333333333,100.3,Bình thường
2015-09-07,30.03,0.79,74.57,2.26,0.2098333333333333,100.08,Bình thường
2015-09-08,29.86,1.72,75.98,2.26,0.1934166666666666,100.08,Bình thường
2015-09-09,29.86,1.72,75.98,2.81,0.1934166666666666,100.24,Bình thường
2015-09-10,27.92,4.75,81.39,1.21,0.1224166666666666,100.43,Bình thường
2015-09-11,28.7,4.0,77.91,2.01,0.1186666666666666,100.31,Bình thường
2015-09-12,28.67,8.92,81.25,3.24,0.1525833333333333,100.27,Mưa lớn
2015-09-13,27.89,2.24,81.25,4.63,0.1525833333333333,100.27,Mưa lớn
2015-09-14,27.55,2.24,91.48,2.6,0.0476666666666666,99.45,"Mưa lớn, Độ ẩm cao, Gió mạnh"
2015-09-15,27.55,11.82,83.98,5.29,0.1363333333333333,99.75,Mưa lớn
2015-09-16,27.27,16.63,87.06,3.66,0.1055833333333333,99.91,Mưa lớn
2015-09-17,27.7,11.09,88.29,5.45,0.1266666666666666,100.27,Mưa lớn
2015-09-18,28.29,11.09,84.87,2.81,0.1895833333333333,100.63,Bình thường
2015-09-19,28.36,0.33,78.3,2.81,0.19775,100.56,Bình thường
2015-09-20,28.29,0.08,78.3,1.7,0.20525,100.3,Bình thường
2015-09-21,28.29,0.08,80.06,2.96,0.1944166666666666,100.12,Bình thường
2015-09-22,28.55,0.95,79.6,3.6,0.2014166666666667,100.14,Bình thường
2015-09-23,29.01,0.84,79.6,3.11,0.2014166666666667,100.14,Bình thường
2015-09-24,29.51,0.51,79.43,2.16,0.196,100.03,Bình thường
2015-09-25,29.6,0.07,75.62,1.92,0.1978333333333333,99.91,Bình thường
2015-09-26,29.36,0.1,75.62,2.41,0.19175,99.91,Bình thường
2015-09-27,29.33,0.07,74.5,2.41,0.1994166666666666,100.12,Bình thường
2015-09-28,29.33,0.09,72.93,1.44,0.1934999999999999,100.14,Bình thường
2015-09-29,29.51,1.73,73.21,1.45,0.1369166666666666,100.19,Bình thường
2015-09-30,29.32,2.29,75.74,1.87,0.1710833333333333,100.4,Bình thường
2015-10-01,28.81,5.19,79.97,2.09,0.17225,100.54,Mưa lớn
2015-10-02,27.76,5.2,82.82,1.6,0.1466666666666666,100.47,Mưa lớn
2015-10-03,27.71,8.69,80.24,1.77,0.1308333333333333,100.38,Mưa lớn
2015-10-04,27.03,2.24,88.19,1.68,0.0796666666666666,100.37,Mưa lớn
2015-10-05,27.85,8.82,82.1,2.39,0.1421666666666666,100.53,Mưa lớn
2015-10-06,28.12,3.86,80.6,2.04,0.1538333333333333,100.54,Bình thường
2015-10-07,28.12,2.69,80.49,2.41,0.1694166666666666,100.54,Bình thường
2015-10-08,28.42,1.9,80.14,2.35,0.1585,100.45,Bình thường
2015-10-09,28.6,4.89,80.74,3.17,0.1783333333333333,100.35,Bình thường
2015-10-10,28.65,15.15,81.93,2.97,0.1660833333333333,100.37,Mưa lớn
2015-10-11,26.54,2.24,89.04,3.79,0.1660833333333333,100.63,Mưa lớn
2015-10-12,26.55,2.24,89.48,3.35,0.04775,100.78,Mưa lớn
2015-10-13,27.09,12.85,86.94,3.23,0.0818333333333333,100.78,Mưa lớn
2015-10-14,27.07,2.24,87.12,3.23,0.0818333333333333,100.75,Mưa lớn
2015-10-15,26.95,19.6,82.42,3.78,0.0223333333333333,100.75,Mưa lớn
2015-10-16,26.72,0.37,77.05,3.04,0.1415,100.75,Bình thường
2015-10-17,26.72,0.55,79.67,3.27,0.0984166666666666,100.6,Bình thường
2015-10-18,26.16,0.07,76.71,2.76,0.0984166666666666,100.65,Bình thường
2015-10-19,26.16,0.01,75.14,3.41,0.1644999999999999,100.51,Bình thường
2015-10-20,25.92,0.0,76.39,2.63,0.1629166666666666,100.34,Bình thường
2015-10-21,26.31,0.0,77.39,2.0,0.173,100.42,Bình thường
2015-10-22,26.95,0.15,76.19,1.93,0.1474166666666666,100.52,Bình thường
2015-10-23,26.95,0.13,75.18,2.43,0.1583333333333333,100.6,Bình thường
2015-10-24,26.45,0.33,78.07,2.28,0.1373333333333333,100.71,Bình thường
2015-10-25,26.6,0.19,81.19,2.28,0.1290833333333333,100.79,Bình thường
2015-10-26,26.6,0.29,79.78,1.95,0.0954166666666666,100.79,Bình thường
2015-10-27,26.6,0.29,78.08,2.16,0.1220833333333333,100.76,Bình thường
2015-10-28,27.22,1.17,78.88,2.21,0.1571666666666666,100.8,Bình thường
2015-10-29,27.51,1.15,75.64,2.15,0.15925,100.85,Bình thường
2015-10-30,27.24,4.7,79.58,2.74,0.1591666666666666,100.85,Bình thường
2015-10-31,27.42,13.02,79.58,3.09,0.12325,100.93,Mưa lớn
2015-11-01,27.37,2.24,79.58,3.09,0.10975,100.93,Mưa lớn
2015-11-02,26.66,2.24,82.27,5.38,0.0783333333333333,100.92,Mưa lớn
2015-11-03,26.48,2.24,83.87,4.23,0.0848333333333333,100.84,Mưa lớn
2015-11-04,26.86,2.24,89.25,3.82,0.0681666666666666,100.67,Mưa lớn
2015-11-05,25.99,2.24,90.55,3.59,0.01825,100.62,"Mưa lớn, Độ ẩm cao"
2015-11-06,26.22,2.24,87.12,2.47,0.0840833333333333,100.58,Mưa lớn
2015-11-07,26.86,7.58,86.67,1.87,0.1508333333333333,100.69,Mưa lớn
2015-11-08,27.03,3.07,86.83,2.09,0.1290833333333333,100.77,Bình thường
2015-11-09,26.97,3.63,84.59,2.43,0.1376666666666666,100.72,Bình thường
2015-11-10,26.95,5.39,83.34,2.67,0.1320833333333333,100.61,Mưa lớn
2015-11-11,26.95,4.88,84.34,2.67,0.1178333333333333,100.65,Bình thường
2015-11-12,26.95,4.52,81.19,3.37,0.1178333333333333,100.74,Bình thường
2015-11-13,27.4,0.22,81.7,2.69,0.154,100.66,Bình thường
2015-11-14,27.38,0.77,82.9,2.69,0.1489166666666666,100.57,Bình thường
2015-11-15,27.43,0.79,82.9,3.24,0.1628333333333333,100.57,Bình thường
2015-11-16,27.01,0.79,81.89,3.13,0.1624166666666666,100.55,Bình thường
2015-11-17,26.86,0.13,83.85,2.9,0.1739166666666666,100.6,Bình thường
2015-11-18,26.86,0.13,82.65,2.59,0.1564166666666666,100.74,Bình thường
2015-11-19,26.86,1.53,82.14,2.56,0.1564166666666666,100.79,Bình thường
2015-11-20,26.73,2.7,83.73,2.3,0.1305,100.68,Bình thường
2015-11-21,26.81,1.39,80.77,2.6,0.1174166666666666,100.65,Bình thường
2015-11-22,26.81,0.58,81.95,2.7,0.1464166666666666,100.66,Bình thường
2015-11-23,27.01,0.9,80.85,3.42,0.1464166666666666,100.68,Bình thường
2015-11-24,26.85,1.83,82.69,3.86,0.1090833333333333,100.65,Bình thường
2015-11-25,26.91,2.06,81.49,4.33,0.0850833333333333,100.72,Bình thường
2015-11-26,26.16,1.44,76.92,5.18,0.0766666666666666,100.9,Bình thường
2015-11-27,25.58,13.9,82.09,4.78,0.05875,100.9,Mưa lớn
2015-11-28,26.24,12.43,83.29,4.19,0.0990833333333333,101.03,Mưa lớn
2015-11-29,26.21,12.43,83.15,4.18,0.1095833333333333,101.08,Mưa lớn
